Psicopedagogía,Profesorado en Psicopedagogía,0431/09,Psicopatología,5,160,0,0
Psicopedagogía,Profesorado en Psicopedagogía,0431/09,Epistemología Disciplinar,6,96,2,0
Psicopedagogía,Profesorado en Psicopedagogía,0431/09,Análisis Institucional II,6,96,1,0
Psicopedagogía,Profesorado en Psicopedagogía,0431/09,Didácticas Especiales,6,96,1,0
Psicopedagogía,Profesorado en Psicopedagogía,0431/09,Clínica Psicopedagógica I,6,192,0,0
Psicopedagogía,Profesorado en Psicopedagogía,0431/09,Metodología de la Investigación,6,96,1,0
Psicopedagogía,Profesorado en Psicopedagogía,0431/09,Pedagogía Especial,6,96,1,0
Psicopedagogía,Profesorado en Psicopedagogía,0431/09,Psicopedagogía Operativa,5,80,2,0
Psicopedagogía,Profesorado en Psicopedagogía,0431/09,Política y Legislación Educacional Argentina,6,96,2,0
Psicopedagogía,Profesorado en Psicopedagogía,0431/09,Orientación Vocacional Ocupacional,6,96,2,0
Psicopedagogía,Profesorado en Psicopedagogía,0431/09,Clínica Psicopedagógica II,6,192,0,0
Psicopedagogía,Profesorado en Psicopedagogía,0431/09,Metodología de las Materias Psicopedagógicas,6,96,1,0
Psicopedagogía,Profesorado en Psicopedagogía,0431/09,Práctica Docente,6,96,2,4
Psicopedagogía,Profesorado en Psicopedagogía,0431/09,Idioma Extranjero,6,196,0,0
Psicopedagogía,Profesorado en Psicopedagogía,0431/09,Filosofía,6,96,1,0
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Química Agrícola,5,80,1,0
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Botánica General,5,80,1,0
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Sociología,6,96,1,0
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Perspectiva Socio-Antropológica,3,48,1,0
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Introducción a los Sistemas Agropecuarios,3,96,0,0
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Seminario TIC,5,80,2,0
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Química Biológica,5,80,2,0
